Thu Dec 30 12:41:32 2021 -> Syltetøy og brød
Fri Dec 31 14:30:50 2021 -> Havregrøt
Sat Jan  1 16:08:47 2022 -> Havregrøt
Sat Jan  1 16:13:47 2022 -> Yoghurt
Sat Jan  1 16:40:07 2022 -> Honning
22 - 01 - 01 -> Drugs
2022 - 01 - 01 -> Juice
2022 - 01 - 01 -> Krem
2022 - 01 - 01 -> Hurum
2022 - 01 - 01 -> Trøfler
2022 - 01 - 01 -> Karbonade
2022 - 01 - 01 -> Suppe
2022 - 01 - 01 -> Kaffe
2022 - 01 - 01 -> Rosin
2022 - 01 - 01 -> Saft
2022 - 01 - 01 -> Juice
2022 - 01 - 01 -> Hurtigris
2022 - 01 - 01 -> Lefse
2022 - 01 - 01 -> Kake
2022 - 01 - 01 -> Hysesuppe
2022 - 01 - 01 -> Makaroni
2022 - 01 - 02 -> Havregrøt
2022 - 01 - 03 -> Havregrøt
2022 - 01 - 04 -> Havregrøt
2022 - 01 - 05 -> Havregrøt
2022 - 01 - 06 -> Havregrøt
2022 - 01 - 07 -> Havregrøt
2022 - 01 - 08 -> Havregrøt
